Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Nossa_fitness,Numero_de_comparacoes,Tempo_avaliacao,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
abba,5,1,2967301147,[f-t][t-z],[f-t][t-z],12,34,128063,0,13578,28715,false
abba,5,1,5600405384,[b-t][tuvhz],[b-t][h-z],16,38,25949,0,2298,17862,false
warmup,5,1,2967301147,foo,foo,21,42,2376,0,800,55924,false
abba,5,2,1632819610,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19626,false
abba,5,3,1412034944,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14092,false
abba,5,4,9724161943,[b-t][tuv],[b-t][tuv],13,35,68480,0,5003,18869,false
abba,5,5,4037724866,[m-p][hi][b-z],[m-p][hi][b-z],11,33,6058,0,1096,25279,false
abba,5,6,8370032799,[b-t][tuvhz],[b-t][h-z],16,38,107925,0,7201,19031,false
warmup,5,1,5600405384,foo,foo,21,42,464012,0,40187,106624,true
abba,5,7,2767986875,[^otna][tuz],[^a-t][t-z],17,39,63094,0,4833,23701,false
abba,5,8,3141506592,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13740,false
abba,5,9,3313543896,[b-t][tuv],[b-t][tuv],13,35,22459,0,2041,26102,false
abba,5,10,8657690939,[b-t][tuvhz],[b-t][h-z],16,38,92786,0,6848,24002,false
abba,5,11,9696640194,[u-z][f-t],[u-z][f-t],11,33,2727,0,754,14566,false
warmup,5,2,1632819610,foo,foo,21,42,272623,0,15766,105191,true
abba,5,12,6621545651,^p|[b-t][tuv],{0}^p|[b-t][tuv],14,36,189281,0,42743,52388,false
abba,5,13,2492462788,[u-z][f-t],[u-z][f-t],11,33,3677,0,880,28241,false
abba,5,14,3404588599,.[tu],.[tu],11,33,4314,0,971,28120,false
warmup,5,3,1412034944,foo,foo,21,42,282490,0,46929,99166,true
abba,5,15,2330977742,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14190,false
abba,5,16,6361187489,[b-t][tuv],[b-t][tuv],13,35,3842,0,917,24035,false
abba,5,17,2805026820,[u-z][f-t],[u-z][f-t],11,33,3676,0,868,14484,false
abba,5,18,4323456912,[p-z][d-h],[p-z][d-h],13,35,4352,0,919,28753,false
warmup,5,4,9724161943,foo,foo,21,42,191493,0,33001,360802,true
abba,5,19,8361101999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,820529,true
abba,5,20,9935136846,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14075,false
abba,5,21,5217407358,[b-t][tuv],[b-t][tuv],13,35,29662,0,2486,19848,false
warmup,5,5,4037724866,foo,foo,21,42,129868,0,8026,597553,true
abba,5,22,5619256299,.[tu]|z,.[tu]|z,13,35,77515,0,20643,34048,false
abba,5,23,4560422870,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14351,false
abba,5,24,5236888092,[b-t][tuv],[b-t][tuv],13,35,20594,0,1971,15515,false
warmup,5,6,8370032799,foo,foo,21,42,408781,0,37943,49662,false
abba,5,25,1337360711,.[u-z][d-z],.[u-z][d-z],12,34,20135,0,2298,18175,false
warmup,5,7,2767986875,f.o,f.o,21,42,58830,0,3718,664982,true
warmup,5,8,3141506592,foo,foo,21,42,144853,0,7932,33930,false
abba,5,26,7659837985,[b-t][tuv],[b-t][tuv],13,35,7831,0,1233,742544,true
abba,5,27,2521100877,[^taon][tuz],[^a-t][t-z],17,39,110641,0,8028,22335,false
abba,5,28,8801535107,[u-z][f-t],[u-z][f-t],11,33,3676,0,871,14068,false
warmup,5,9,3313543896,foo,foo,21,42,272288,0,41894,100988,true
abba,5,29,9651599436,[u-z][f-t],[u-z][f-t],11,33,6042,0,1148,15244,false
aman-aplan,5,1,2967301147,^[h-t][a-o],^[h-t][a-o],10,31,7574,0,1174,19120,false
aman-aplan,5,1,5600405384,[cd]$,[cd]$,3,24,3294,0,803,32010,false
warmup,5,10,8657690939,foo,foo,21,42,339421,0,27692,90057,true
aman-aplan,5,2,1632819610,u^|[cd]$,u^|[cd]$,3,24,4414,0,936,36088,false
warmup,5,11,9696640194,foo,foo,21,42,324758,0,39317,114199,true
aman-aplan,5,3,1412034944,[a-l][b-x].[^yen]\b,[a-l][b-x].[^e-y]\b,14,35,66508,0,6072,415003,true
aman-aplan,5,4,9724161943,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17566,false
aman-aplan,5,5,4037724866,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18377,false
aman-aplan,5,6,8370032799,[rs][de],[rs][de],5,26,4174,0,895,31494,false
aman-aplan,5,7,2767986875,^[h-t][a-o],^[h-t][a-o],10,31,22823,0,2010,36002,false
aman-aplan,5,8,3141506592,^[h-t][a-o],^[h-t][a-o],10,31,13484,0,1609,21544,false
